time(ns) r(mm) y(mm) mom(GeV)
5.1112 -12.8987 -8.31148 3093.16
5.11739 -24.2281 -2.76728 3092.81
5.09971 -37.4355 -11.307 3090.65
5.0862 5.93337 1.83813 3097.9
5.09689 10.791 -11.2669 3099.32
5.13252 -6.16592 -7.94223 3098.38
5.06925 -3.24247 -3.14832 3092.63
5.06868 -18.9673 -22.9774 3088.03
5.07575 -23.9676 -17.6312 3090.94
5.11729 -23.5284 14.095 3094.73
5.10291 6.54408 -0.0123855 3099.84
5.0929 28.9469 -17.1382 3101.13
5.07515 8.61171 -6.24178 3096.98
5.05622 -16.0518 -11.3349 3092.58
5.11701 -12.549 -24.5316 3095.93
5.07481 -14.8207 -4.43624 3091.83
5.11082 -22.5591 -5.5762 3095.5
5.0626 -7.52283 -3.58321 3090.99
5.03696 -10.8644 -5.66194 3094.18
5.08049 7.53564 -8.06763 3099.01
5.06871 -16.0548 -5.47161 3092.77
5.12238 -5.51293 14.9148 3098.52
5.11683 -12.5011 -4.39379 3095.59
5.08797 -21.2905 -1.00903 3091.57
5.07094 -24.7825 -8.72714 3093.53
5.07761 -8.73937 -12.1355 3095.25
5.05478 13.7491 -2.13834 3094.64
5.06976 8.50675 14.2169 3095.25
5.04697 -8.64899 -13.4029 3092.33
5.09918 -21.0537 4.62562 3092.43
5.02338 -7.97913 1.00473 3092.6
5.0442 32.5938 10.0032 3102.21
5.10564 0.783042 -3.1048 3099.01
5.12471 -35.4858 -17.3528 3094.15
5.0709 20.9551 1.31506 3100.57
5.10294 6.92511 -6.83463 3098.84
5.12844 -22.9821 -3.03019 3094.58
5.12274 12.4709 -22.2548 3097.93
5.06525 -6.39581 -15.554 3093.35
5.10599 6.24574 -14.1406 3100.17
5.10842 18.9098 -11.3376 3099.63
5.05594 -25.5916 -2.95665 3090.38
5.0918 13.1652 -8.68628 3098.9
5.12167 -34.3123 -18.2115 3093.61
5.09023 22.6307 -8.39874 3097.94
5.07369 0.852363 0.0472534 3093.33
5.09559 -1.90571 -13.4576 3097.35
5.04 9.57034 -21.794 3099.26
5.10132 -25.3046 -3.34867 3093.5
5.04819 -10.5709 -14.4192 3092.19
5.06092 2.69502 1.91503 3095
5.09535 7.55453 -24.3321 3097.58
5.03037 -6.08025 4.37908 3094.08
5.04855 -16.7626 -24.0995 3092.47
5.11336 -3.4173 -9.918 3099.87
5.0718 -27.737 -3.31702 3090.64
5.12056 -1.46143 12.9775 3100.74
5.06173 -25.6379 -9.69895 3089.79
5.03287 -13.229 -6.93357 3088.62
5.11611 -1.60668 -19.7444 3097.71
5.06967 7.35152 -6.76121 3096.38
5.09401 -3.35736 -21.4687 3095.93
5.05629 38.0341 4.70474 3102.35
5.09861 -14.4899 6.89314 3094.52
5.09137 2.78558 1.79428 3096.33
5.10652 -8.30065 11.5526 3095.54
5.09045 6.64085 -8.93978 3094.72
5.11808 -15.122 -13.9423 3097.29
5.13273 -4.57038 21.23 3099.51
5.10514 8.15378 -7.79734 3097.65
5.11761 -20.6375 -3.49476 3094.25
5.04552 -20.056 5.34122 3091.87
5.11929 -7.43821 -13.1556 3095.99
5.07339 10.4653 -7.31434 3094.36
5.07183 23.7231 11.4597 3100.97
5.14489 22.2902 1.12556 3103.94
5.08831 -9.18649 -0.952675 3090.93
5.13285 -14.0364 -8.13338 3097.09
5.09824 0.05049 5.63701 3099.04
5.08398 -3.6967 6.10793 3095.42
5.04986 9.60389 -6.98736 3094.06
5.03194 -1.77617 -16.9492 3093.63
5.0744 17.4655 13.8185 3099.43
5.01872 -2.4149 0.944705 3093.33
5.10962 -30.988 -7.41786 3092.42
5.08084 -20.0194 -11.0982 3092.07
5.09156 10.0961 -13.3921 3101.44
5.06476 3.32051 9.02773 3098.04
5.03129 1.31017 -3.09182 3101.83
5.04991 11.6069 6.46347 3096.17
5.08894 1.3349 -8.10365 3097.84
5.0509 -13.6739 -9.69741 3091.82
5.0979 -1.64272 -17.7283 3096.95
5.13361 1.50334 -16.3483 3099.8
5.03951 24.5776 -3.80694 3098.09
5.0812 14.8084 -10.6409 3095.68
5.03917 -20.903 2.30988 3089.78
5.12617 -13.4711 12.6879 3097.8
5.06463 -5.98523 -10.9778 3092.1
5.07826 -26.1372 -12.8394 3090.24
5.05262 18.936 3.34374 3095.12
5.09169 -19.8905 8.70869 3088.68
5.04314 -15.2467 6.02109 3088.87
5.10827 -26.1163 -13.6886 3093.34
5.08197 17.2898 -13.9577 3098.45
5.11281 10.3214 -1.24262 3099.63
5.047 -13.6482 -3.37103 3093.24
5.02446 22.0065 3.77738 3095.15
5.11063 19.2953 -0.869286 3102.02
5.12728 -20.6089 -7.00407 3096.51
5.06715 23.773 -17.9588 3100.63
5.10297 -1.75888 -3.77316 3097.44
5.02899 -19.4929 -7.94451 3087.98
5.08626 13.0241 10.5729 3096.1
5.08461 14.4376 -8.16294 3097.3
5.09461 -7.95827 -11.2875 3094.35
5.0784 -12.4212 0.370934 3095.29
5.11608 -2.80265 9.13049 3100.82
5.04761 -15.2673 -1.67005 3089.36
5.11224 7.512 9.06008 3097.95
5.10019 12.3274 -0.107831 3097.7
5.07045 -8.63748 -1.01726 3094.62
5.03106 -7.97225 -2.176 3091.89
5.14188 -1.82773 -13.4496 3097.81
5.11154 10.8598 -1.40594 3098.07
5.04111 19.8278 -16.0676 3100.31
5.06469 -13.8492 4.66294 3092.37
5.11236 -24.8507 1.9184 3096.3
5.09574 -8.77632 -10.0835 3096.68
5.1473 18.2665 -0.71434 3104.02
5.12675 0.481368 6.04451 3099.47
5.07417 17.5532 1.43931 3096.03
5.09681 -19.3592 -0.387501 3094.55
5.13455 -19.1085 -17.7834 3093.55
5.08459 -14.1695 -5.14509 3094.6
5.12964 -1.32982 4.12926 3100.56
5.11528 -1.77185 -3.98943 3096.57
5.08664 -20.2038 2.85133 3095.05
5.10652 -16.7887 -4.43843 3094.97
5.05985 19.2576 9.17089 3097.49
5.0607 21.3106 10.0431 3097.74
5.10768 1.57739 -23.0151 3091.23
5.08528 6.12211 0.817803 3098.93
5.10816 -32.2019 -14.8539 3091.25
5.11982 -33.6761 1.43906 3094.07
5.07067 11.5094 -8.86825 3097.11
5.06982 16.5752 -13.1056 3098.17
5.05229 -15.1977 -6.46959 3087.9
5.08619 -3.69263 8.4471 3095.11
5.08724 -17.2005 -2.92009 3096.13
5.09253 3.69375 3.39102 3099.15
5.09051 9.46717 -1.34372 3098.71
5.1059 -8.98175 -5.673 3097.84
5.05594 -3.84332 -18.8689 3095.43
5.08791 -3.34531 -17.3028 3091.3
5.07352 -7.43723 -14.1937 3095.94
5.05236 -5.15014 -5.61913 3089.74
5.06697 22.2105 13.7991 3100.15
5.0927 -4.5391 5.22249 3094.77
5.02687 16.3105 -19.7395 3097.69
5.11248 3.10355 -3.50467 3101.37
5.06003 -13.969 -12.9787 3093.86
5.0697 9.44683 -5.22056 3098.33
5.09391 -11.5471 -8.97114 3094.9
5.07113 -23.3142 -6.39749 3089.26
5.05715 -13.5796 -0.708343 3093.73
5.07891 -25.1753 2.70022 3090.8
5.10698 -7.55464 -8.64235 3095.78
5.07095 -12.7868 5.4367 3091.18
5.04699 -9.44129 19.1209 3091.93
5.08491 -14.5175 -23.2037 3090.79
5.06961 -2.84396 -5.004 3095.72
5.07313 40.1082 8.83253 3098.4
5.0227 -1.71188 6.60668 3090.03
5.06139 8.57062 -8.46613 3098.16
5.06572 -13.6941 -2.78992 3092.15
5.08278 -7.6078 -9.71365 3096.2
5.02974 4.23056 -3.67908 3096.52
5.11635 -2.61215 -14.3909 3096.77
5.07737 1.79621 -11.9247 3095.08
5.09456 4.39731 -9.09778 3097.98
5.10339 0.927195 -0.311302 3097.57
5.03135 -3.3088 6.50867 3094.17
5.1431 12.9424 -5.02058 3103.94
5.06462 -19.6277 -14.5409 3091.77
5.06941 -8.7308 3.47858 3092.37
5.08708 -12.4459 -11.5652 3095.14
5.11723 0.571461 -20.1005 3099.87
5.06118 2.99796 -3.51586 3097.06
5.06656 23.4542 -9.31483 3098.81
5.05435 -2.54077 -4.70384 3095.96
5.09672 27.2054 -11.7028 3100.29
5.113 -23.7021 -18.4628 3096.45
5.07552 10.5413 2.6502 3097.65
5.08338 -36.0104 -12.3412 3091.3
5.06791 0.741577 -6.4335 3098.2
5.0554 2.42485 -3.03473 3094.94
5.04669 17.9813 -5.36286 3100.19
5.04412 20.9975 -4.59677 3094.15
5.1453 5.09806 -12.0257 3101.85
5.09068 27.4984 -6.69199 3101.55
5.084 -14.4415 8.63421 3094.7
5.12393 14.4107 -0.183719 3103.13
5.04275 10.1603 -3.17118 3097.46
5.03958 -2.78404 7.98761 3091.56
5.00737 -7.74366 6.25057 3093.51
5.1007 17.5995 3.73616 3101.67
5.04148 -6.63149 -4.16421 3094.22
5.06872 24.7533 -20.2176 3097.68
5.0701 -21.7325 13.2707 3088.32
5.10234 0.455642 11.6535 3099.13
5.07248 -3.36314 -12.4683 3089.78
5.04319 -8.5165 -3.90777 3093.11
5.07106 -6.89929 7.85741 3091.52
5.08147 27.2002 6.43128 3099.53
5.08268 13.3734 -15.266 3098.74
5.0757 33.088 -11.0213 3101.65
5.10764 6.51055 1.97333 3098.11
5.0619 -16.1171 2.14543 3092.62
5.08069 -6.27014 -11.1192 3097.52
5.07979 32.6405 3.47931 3093.72
5.10355 -3.10845 -15.3296 3095.12
5.07663 -10.1081 -5.73683 3093.02
5.05655 -11.4486 -8.83765 3093.02
5.11937 1.72658 -28.9483 3098.84
5.12741 -23.4512 -7.2279 3093.65
5.10393 -14.5485 -14.9623 3092.69
5.08852 30.3402 5.17855 3099.25
5.08475 8.94456 -11.8269 3098.33
5.06304 28.6116 -7.48061 3095.67
5.11863 29.5334 -3.03058 3103.94
5.08221 16.8223 4.88792 3096.59
5.07665 -31.2698 -7.16773 3091.66
5.0924 13.4022 8.40827 3098.38
5.09576 -13.4594 -20.3065 3090.96
5.13268 10.1252 -10.2965 3099.19
5.06827 14.4801 8.09011 3097.84
5.03747 32.4213 -6.06859 3101.68
5.091 -5.04038 2.39124 3094.1
5.06595 16.4956 -5.90394 3099.06
5.05085 -13.8229 1.76195 3091.37
5.07322 -1.51866 2.98647 3092.84
5.1021 8.33358 -1.86269 3097.65
5.0461 5.25844 -28.6409 3096
5.10511 28.994 -10.9868 3101.46
5.06951 -4.46395 -7.06324 3091.81
5.06607 36.8916 7.20369 3101.18
5.10441 -22.8177 -6.0436 3095.61
5.10799 -7.28844 -21.2823 3098.12
5.04887 23.993 -5.51272 3098.08
5.05488 -2.42883 4.45471 3095.04
5.11059 -6.26141 -6.98747 3096.06
5.10162 10.8379 -4.8764 3099.24
5.06732 5.54234 0.456917 3099.81
5.13235 3.94949 -12.2133 3101.11
5.05598 18.6447 -12.5045 3095.08
5.14084 10.5605 21.9023 3098.86
5.03537 11.3684 -2.24523 3097.7
5.00115 -16.3901 -6.11289 3096.31
5.07903 6.4073 -12.6208 3098.45
5.04195 -4.99729 -11.6687 3092.44
5.07346 6.78478 -1.50831 3097.13
5.09195 -26.5004 -5.61262 3092.71
5.04246 -6.56356 -1.12265 3095.85
5.04039 2.85781 9.85117 3095.4
5.01799 4.58527 -8.0649 3096.3
5.05077 -10.933 8.98748 3094.07
5.04975 -2.7676 -0.229 3094.42
5.04216 -19.5145 -9.91907 3089.56
5.10817 22.6436 -0.301969 3102.59
5.12129 -16.7572 -6.77632 3096.78
5.06824 -27.6269 4.52561 3087.69
5.09827 -17.6674 -11.2506 3091.33
5.10402 -15.3667 0.139717 3094.61
5.08724 12.2885 -8.47025 3098.21
5.12222 -20.5357 5.95536 3096.17
5.02995 -10.1884 5.62255 3092.88
5.134 -7.14512 -28.4225 3097.16
5.08785 21.3294 1.96703 3098.09
5.08205 -1.36214 -0.13133 3094.41
5.098 -29.3508 -1.71723 3094.69
5.0731 -6.44919 1.41424 3097.07
5.09676 -19.9947 -3.60838 3094.96
5.08084 13.732 -12.7711 3101.59
5.06481 -19.4872 -12.1125 3090.75
5.05715 8.87812 -2.63621 3098.7
5.14131 -26.1354 4.51064 3095.5
5.06277 -20.552 -17.352 3092.15
5.05665 -17.8406 -1.75455 3091.33
5.04483 -10.2819 8.30017 3091.85
5.07176 12.0131 -0.366866 3096.61
5.10017 8.8598 -18.7246 3098.04
5.10579 0.536684 16.403 3100.35
5.05692 -15.5613 7.55816 3087.76
