time(ns) r(mm) y(mm) mom(GeV)
5.04887 23.993 -5.51272 3098.08
5.06732 5.54234 0.456917 3099.81
5.13235 3.94949 -12.2133 3101.11
5.00115 -16.3901 -6.11289 3096.31
5.09195 -26.5004 -5.61262 3092.71
5.04246 -6.56356 -1.12265 3095.85
5.10817 22.6436 -0.301969 3102.59
5.10402 -15.3667 0.139717 3094.61
5.08724 12.2885 -8.47025 3098.21
5.12222 -20.5357 5.95536 3096.17
5.02995 -10.1884 5.62255 3092.88
5.08785 21.3294 1.96703 3098.09
5.08205 -1.36214 -0.13133 3094.41
5.098 -29.3508 -1.71723 3094.69
5.0731 -6.44919 1.41424 3097.07
5.06481 -19.4872 -12.1125 3090.75
5.07176 12.0131 -0.366866 3096.61
5.10579 0.536684 16.403 3100.35
5.09913 30.1807 -1.80982 3102.14
5.08094 0.287447 16.7493 3090.85
5.06215 -15.601 -9.27618 3092.93
5.07422 -18.0102 5.02909 3094.56
5.07725 -6.27418 -11.2326 3093.44
5.09383 9.35748 -9.13656 3096.28
5.08304 -2.76435 -1.17643 3095.88
5.08784 -0.0182321 3.89652 3097.61
5.04903 28.055 -1.28848 3101.37
5.12991 11.7479 -14.2558 3100.48
5.0591 -2.33812 -4.15525 3095.18
5.01522 6.6364 -10.8798 3096.67
5.07731 27.1067 5.52875 3100.11
5.04348 1.44484 -7.79356 3095.05
5.09787 -3.13451 -1.71335 3094.22
5.07236 12.7001 -14.402 3096.37
5.07515 -22.5059 -12.0287 3093.35
5.07608 4.86808 -5.14216 3095.73
5.14072 -7.78679 13.2229 3095.53
5.06727 -14.268 -0.848258 3091.66
5.07766 12.2139 -12.3828 3096.43
5.039 -10.2545 21.2702 3092.69
5.04775 -1.09826 -19.7223 3096.29
5.08272 -13.5987 -13.4168 3092.84
5.10983 -20.5821 -13.1394 3094.9
5.12368 11.7463 -6.3022 3102.5
5.01886 14.7779 -4.60457 3097.46
5.0701 -5.53483 -25.2661 3094.44
5.0858 4.44993 -19.7956 3098.9
5.06012 19.8488 0.699601 3095.96
5.06042 -24.8179 -17.1287 3090.61
